date,game_size,match_id,match_mode,party_size,player_assists,player_dbno,player_dist_ride,player_dist_walk,player_dmg,player_kills,player_name,player_survive_time,team_id,team_placement
2017-10-31T02:41:53+0000,95,2U4GBNA0YmmhivBOFUiipklIPVdC0DRgkX88eyhTYGiAnoXrjvEhNQHZMWi8d5y9,tpp,1,0,0,0.0,37.919838,20,0,m3xdave,106.351,100000,88
2017-10-31T02:41:53+0000,95,2U4GBNA0YmmhivBOFUiipklIPVdC0DRgkX88eyhTYGiAnoXrjvEhNQHZMWi8d5y9,tpp,1,0,0,292.205048,3457.0361299999995,387,3,UDaddyHere,1690.021,100006,8
2017-10-31T02:41:53+0000,95,2U4GBNA0YmmhivBOFUiipklIPVdC0DRgkX88eyhTYGiAnoXrjvEhNQHZMWi8d5y9,tpp,1,0,0,0.0,106.2159,0,0,Dummy05,103.415,100010,89
2017-10-31T02:41:53+0000,95,2U4GBNA0YmmhivBOFUiipklIPVdC0DRgkX88eyhTYGiAnoXrjvEhNQHZMWi8d5y9,tpp,1,0,0,0.0,126.95983100000001,91,0,NA-Wuyifan,272.83799999999997,100019,67
2017-10-31T02:41:53+0000,95,2U4GBNA0YmmhivBOFUiipklIPVdC0DRgkX88eyhTYGiAnoXrjvEhNQHZMWi8d5y9,tpp,1,0,0,0.0,43.346709999999995,0,0,kickinchicken,134.342,100024,81
2017-10-31T02:41:53+0000,95,2U4GBNA0YmmhivBOFUiipklIPVdC0DRgkX88eyhTYGiAnoXrjvEhNQHZMWi8d5y9,tpp,1,1,0,0.0,218.5152,71,0,WhiteCrane,193.885,100026,74
2017-10-31T02:41:53+0000,95,2U4GBNA0YmmhivBOFUiipklIPVdC0DRgkX88eyhTYGiAnoXrjvEhNQHZMWi8d5y9,tpp,1,0,0,0.0,858.5553,0,0,holographicBDSM,1649.86,100027,9
2017-10-31T02:41:53+0000,95,2U4GBNA0YmmhivBOFUiipklIPVdC0DRgkX88eyhTYGiAnoXrjvEhNQHZMWi8d5y9,tpp,1,0,0,2914.935,596.844666,35,0,wangge0424,687.1569999999999,100030,47
2017-10-31T02:41:53+0000,95,2U4GBNA0YmmhivBOFUiipklIPVdC0DRgkX88eyhTYGiAnoXrjvEhNQHZMWi8d5y9,tpp,1,0,0,0.0,1565.26514,210,2,MambaTongue,660.697,100032,50
2017-10-31T02:41:53+0000,95,2U4GBNA0YmmhivBOFUiipklIPVdC0DRgkX88eyhTYGiAnoXrjvEhNQHZMWi8d5y9,tpp,1,0,0,592.7873,1009.12994,0,0,sun2009,673.3760000000001,100035,49
2017-10-31T02:41:53+0000,95,2U4GBNA0YmmhivBOFUiipklIPVdC0DRgkX88eyhTYGiAnoXrjvEhNQHZMWi8d5y9,tpp,1,0,0,0.0,1613.10718,110,1,Chewwe,1019.25,100037,35
2017-10-31T02:41:53+0000,95,2U4GBNA0YmmhivBOFUiipklIPVdC0DRgkX88eyhTYGiAnoXrjvEhNQHZMWi8d5y9,tpp,1,0,0,0.0,126.34439099999999,0,0,Corsa1,182.62599999999998,100040,77
2017-10-31T02:41:53+0000,95,2U4GBNA0YmmhivBOFUiipklIPVdC0DRgkX88eyhTYGiAnoXrjvEhNQHZMWi8d5y9,tpp,1,1,0,568.1191,2693.52417,9,0,MeesterPaul,1357.662,100044,20
2017-10-31T02:41:53+0000,95,2U4GBNA0YmmhivBOFUiipklIPVdC0DRgkX88eyhTYGiAnoXrjvEhNQHZMWi8d5y9,tpp,1,0,0,0.0,198.1307,0,0,Duartbros,464.25,100051,58
2017-10-31T02:41:53+0000,95,2U4GBNA0YmmhivBOFUiipklIPVdC0DRgkX88eyhTYGiAnoXrjvEhNQHZMWi8d5y9,tpp,1,0,0,0.0,14.9920874,71,0,countdavion,94.97,100054,91
2017-10-31T02:41:53+0000,95,2U4GBNA0YmmhivBOFUiipklIPVdC0DRgkX88eyhTYGiAnoXrjvEhNQHZMWi8d5y9,tpp,1,0,0,0.0,150.7939,185,1,Jackson3547,199.483,100057,73
2017-10-31T02:41:53+0000,95,2U4GBNA0YmmhivBOFUiipklIPVdC0DRgkX88eyhTYGiAnoXrjvEhNQHZMWi8d5y9,tpp,1,0,0,0.0,82.67385999999999,36,0,zombieGO,128.16899999999998,100063,82
2017-10-31T02:41:53+0000,95,2U4GBNA0YmmhivBOFUiipklIPVdC0DRgkX88eyhTYGiAnoXrjvEhNQHZMWi8d5y9,tpp,1,0,0,1160.4597199999998,1118.90051,100,1,undercookedramen,1020.2639999999999,100078,34
2017-10-31T02:41:53+0000,95,2U4GBNA0YmmhivBOFUiipklIPVdC0DRgkX88eyhTYGiAnoXrjvEhNQHZMWi8d5y9,tpp,1,0,0,6583.38,691.8981,290,1,sneaky_beaky_,1708.33,100080,7
